CODE,NAME
S50363,"PT YAFINDO MITRA PERMATA (BATAM)"
S50364,"PT MEDIA TECHNOLOGY"
S50365,"PT FASTRATA BUANA (JAKARTA)"
S50366,"PT SINARMAS DISTRIBUSI NUSANTARA (MAYURI)"
S50367,"PT TRAVEL BLUE INDONESIA (BATAM)"
S50368,"PT EMWAY GLOBALINDO (BATAM)"
S50369,"PT BAMBINI INDONESIA (BATAM)"
S50370,"CV SAFIR INDO RAYA"
S50371,"CV PROSPERINDO NUSA JAYA (BATAM)"
S50372,"PT BINTANG INTAN SARANA (BATAM)"
S50373,"PT SUKSES JAYA INDAH (BATAM)"
S50374,"PT SUKANDA DJAYA (BATAM)"
S50375,"PT INTERFOOD SUKSES JASINDO (BATAM)"
S50376,"PT SELARAS MAKMUR SEJATI (BATAM)"
S50377,"PT DATASCRIP (BATAM)"
S50378,"PT INTEGRITAS DINAMIKA INDONESIA (BATAM)"
S50379,"PT ASIA TEKNOLOGI INTEGRITAS (BATAM)"
S50380,"CV SUN FLOWER (BATAM)"
S50381,"PT DUA PULUH TIGA (BATAM)"
S50382,"PT KHARISMA SENTRA MANDIRI (BATAM)"
